x;y;
0,032744812;1,441030937;
0,101106787;1,526447576;
0,164585764;1,612823953;
0,228064741;1,701759629;
0,28666072;1,784936881;
0,345256699;1,868114132;
0,403852678;1,953210859;
0,462448656;2,03766776;
0,521044635;2,122764487;
0,579640614;2,207861213;
0,638236593;2,292318115;
0,696832572;2,376135191;
0,755428551;2,459952268;
0,814024529;2,543129519;
0,872620508;2,626306771;
0,931216487;2,706924722;
0,989812466;2,787542673;
1,048408445;2,8675208;
1,107004423;2,946859101;
1,170483401;3,029944949;
1,238845376;3,117143958;
1,307207351;3,204342966;
1,375569326;3,288251446;
1,4488143;3,374902034;
1,526942272;3,463677754;
1,605070243;3,547654787;
1,688081213;3,632538238;
1,78085818;3,71810417;
1,883401143;3,8003275;
1,990827104;3,870824583;
2,098253065;3,915147007;
2,205679026;3,922126916;
2,303338991;3,871832792;
2,376583965;3,785029866;
2,430296945;3,694302679;
2,474243929;3,599480613;
2,498658921;3,515663536;
2,537722906;3,427367685;
2,562137898;3,328834633;
2,591435887;3,226462631;
2,620733876;3,115133079;
2,649055266;3,004827247;
2,669563859;2,905590388;
2,689095852;2,808656899;
2,703744846;2,723560172;
2,723276839;2,633984671;
2,742808832;2,530333019;
2,762340825;2,422842417;
2,781872818;2,314392078;
2,801404811;2,204022263;
2,820936804;2,087894024;
2,840468797;1,979337047;
2,857559291;1,86907387;
2,869766786;1,780458106;
2,889298779;1,674247154;
2,908830772;1,558118914;
2,928362765;1,4400712;
2,947894758;1,325862435;
2,967426751;1,217412096;
2,986958744;1,108002019;
3,006490737;1,00722958;
3,029929129;0,90031482;
3,050437721;0,804724964;
3,070946314;0,717580797;
3,102523036;0,623014661;
3,152980684;0,513348654;
3,231108656;0,422051441;
3,338534617;0,415769523;
3,426428585;0,494044219;
3,485024564;0,578610805;
3,533854546;0,668442236;
3,582684529;0,768254938;
3,626631513;0,862309215;
3,665695499;0,953484279;
3,704759485;1,038900918;
3,747078803;1,127836594;
3,782887456;1,224130259;
3,821951442;1,310506635;
3,865898426;1,403985069;
3,919611407;1,502134226;
4,002622377;1,593978198;
4,110048338;1,58769628;
4,18817631;1,501494401;
4,237006292;1,412430759;
4,280953276;1,318184535;
4,320017262;1,226049734;
4,359081248;1,129116244;
4,398145234;1,03410223;
4,442092218;0,937936531;
4,52022019;0,84189298;
4,593465164;0,874785803;
4,63155255;0,958973977;
4,647178144;1,035701793;
4,666710137;1,126237032;
4,68624213;1,237566584;
4,705774123;1,359453248;
4,725306116;1,481339913;
4,744838109;1,593629203;
4,7682765;1,708797705;
4,789761693;1,810913776;
4,813200084;1,908423108;
4,85226407;2,0090036;
4,920626045;2,108048512;
5,01828601;2,177149613;
5,125711971;2,211351168;
5,233137932;2,230545918;
5,340563894;2,250787655;
5,447989855;2,297553047;
5,526117826;2,378310596;
5,57104141;2,473516558;
5,594479802;2,565843307;
5,614011795;2,667575484;
5,633543788;2,776025823;
5,656982179;2,892729905;
5,678467371;3,001756087;
5,750735745;3,096403656;
5,833746715;3,028756703;
5,887459696;2,934190566;
5,93140668;2,846086662;
5,970470666;2,76162976;
6,009534652;2,672374171;
6,048598638;2,58023937;
6,087662624;2,481386406;
6,126726609;2,386372391;
6,165790595;2,287519427;
6,204854581;2,189626201;
6,243918567;2,090773236;
6,282005953;2,00055791;
